date,contact tracing,isPartial
2020-07-22,87,False
2020-07-23,84,False
2020-07-24,100,False
2020-07-25,0,False
2020-07-26,0,False
2020-07-27,68,False
2020-07-28,91,False
2020-07-29,0,False
2020-07-30,74,False
2020-07-31,0,False
2020-08-01,0,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,0,False
2020-08-05,78,False
2020-08-06,0,False
2020-08-07,0,False
2020-08-08,0,False
2020-08-09,0,False
2020-08-10,0,False
2020-08-11,87,False
2020-08-12,0,False
2020-08-13,70,False
2020-08-14,0,False
2020-08-15,0,False
2020-08-16,0,False
2020-08-17,76,False
2020-08-18,78,False
2020-08-19,81,False
2020-08-20,58,False
2020-08-21,0,False
