date,contact tracing,isPartial
2021-02-14,0,False
2021-02-15,93,False
2021-02-16,53,False
2021-02-17,77,False
2021-02-18,44,False
2021-02-19,64,False
2021-02-20,0,False
2021-02-21,88,False
2021-02-22,0,False
2021-02-23,49,False
2021-02-24,0,False
2021-02-25,0,False
2021-02-26,62,False
2021-02-27,0,False
2021-02-28,0,False
2021-03-01,0,False
2021-03-02,44,False
2021-03-03,49,False
2021-03-04,85,False
2021-03-05,57,False
2021-03-06,0,False
2021-03-07,0,False
2021-03-08,94,False
2021-03-09,80,False
2021-03-10,61,False
2021-03-11,74,False
2021-03-12,64,False
2021-03-13,58,False
2021-03-14,100,False
2021-03-15,66,False
2021-03-16,62,False
