date,contact tracing,isPartial
2021-01-14,44,False
2021-01-15,47,False
2021-01-16,0,False
2021-01-17,66,False
2021-01-18,100,False
2021-01-19,49,False
2021-01-20,0,False
2021-01-21,0,False
2021-01-22,0,False
2021-01-23,0,False
2021-01-24,0,False
2021-01-25,43,False
2021-01-26,47,False
2021-01-27,43,False
2021-01-28,71,False
2021-01-29,48,False
2021-01-30,0,False
2021-01-31,0,False
2021-02-01,52,False
2021-02-02,54,False
2021-02-03,0,False
2021-02-04,52,False
2021-02-05,0,False
2021-02-06,0,False
2021-02-07,74,False
2021-02-08,0,False
2021-02-09,54,False
2021-02-10,70,False
2021-02-11,58,False
2021-02-12,0,False
2021-02-13,0,False
