date,contact tracing,isPartial
2021-01-31,0,False
2021-02-01,71,False
2021-02-02,62,False
2021-02-03,0,False
2021-02-04,58,False
2021-02-05,0,False
2021-02-06,0,False
2021-02-07,78,False
2021-02-08,71,False
2021-02-09,75,False
2021-02-10,79,False
2021-02-11,76,False
2021-02-12,0,False
2021-02-13,0,False
2021-02-14,0,False
2021-02-15,94,False
2021-02-16,59,False
2021-02-17,72,False
2021-02-18,59,False
2021-02-19,72,False
2021-02-20,0,False
2021-02-21,100,False
2021-02-22,0,False
2021-02-23,75,False
2021-02-24,0,False
2021-02-25,0,False
2021-02-26,0,False
2021-02-27,0,False
2021-02-28,0,False
2021-03-01,0,False
2021-03-02,59,False
