date,contact tracing,isPartial
2020-12-18,0,False
2020-12-19,77,False
2020-12-20,0,False
2020-12-21,0,False
2020-12-22,100,False
2020-12-23,83,False
2020-12-24,0,False
2020-12-25,0,False
2020-12-26,0,False
2020-12-27,0,False
2020-12-28,0,False
2020-12-29,0,False
2020-12-30,93,False
2020-12-31,0,False
2021-01-01,0,False
2021-01-02,0,False
2021-01-03,0,False
2021-01-04,0,False
2021-01-05,0,False
2021-01-06,77,False
2021-01-07,62,False
2021-01-08,0,False
2021-01-09,0,False
2021-01-10,0,False
2021-01-11,62,False
2021-01-12,0,False
2021-01-13,91,False
2021-01-14,68,False
2021-01-15,79,False
2021-01-16,0,False
2021-01-17,0,False
