date,contact tracing,isPartial
2020-12-09,0,False
2020-12-10,0,False
2020-12-11,0,False
2020-12-12,0,False
2020-12-13,0,False
2020-12-14,64,False
2020-12-15,0,False
2020-12-16,0,False
2020-12-17,100,False
2020-12-18,0,False
2020-12-19,74,False
2020-12-20,0,False
2020-12-21,0,False
2020-12-22,96,False
2020-12-23,80,False
2020-12-24,0,False
2020-12-25,0,False
2020-12-26,0,False
2020-12-27,0,False
2020-12-28,0,False
2020-12-29,0,False
2020-12-30,90,False
2020-12-31,0,False
2021-01-01,0,False
2021-01-02,0,False
2021-01-03,0,False
2021-01-04,0,False
2021-01-05,0,False
2021-01-06,75,False
2021-01-07,60,False
2021-01-08,0,False
