date,contact tracing,isPartial
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,86,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,0,False
2020-07-12,0,False
2020-07-13,0,False
2020-07-14,0,False
2020-07-15,62,False
2020-07-16,0,False
2020-07-17,72,False
2020-07-18,74,False
2020-07-19,0,False
2020-07-20,78,False
2020-07-21,66,False
2020-07-22,87,False
2020-07-23,84,False
2020-07-24,100,False
2020-07-25,0,False
2020-07-26,0,False
2020-07-27,68,False
2020-07-28,91,False
2020-07-29,0,False
2020-07-30,74,False
