date,contact tracing,isPartial
2020-12-14,76,False
2020-12-15,0,False
2020-12-16,86,False
2020-12-17,72,False
2020-12-18,76,False
2020-12-19,0,False
2020-12-20,0,False
2020-12-21,0,False
2020-12-22,0,False
2020-12-23,0,False
2020-12-24,0,False
2020-12-25,0,False
2020-12-26,0,False
2020-12-27,0,False
2020-12-28,73,False
2020-12-29,0,False
2020-12-30,82,False
2020-12-31,0,False
2021-01-01,0,False
2021-01-02,0,False
2021-01-03,0,False
2021-01-04,0,False
2021-01-05,0,False
2021-01-06,56,False
2021-01-07,97,False
2021-01-08,65,False
2021-01-09,0,False
2021-01-10,82,False
2021-01-11,61,False
2021-01-12,0,False
2021-01-13,100,False
