date,contact tracing,isPartial
2020-10-10,0,False
2020-10-11,0,False
2020-10-12,0,False
2020-10-13,0,False
2020-10-14,50,False
2020-10-15,0,False
2020-10-16,0,False
2020-10-17,0,False
2020-10-18,0,False
2020-10-19,0,False
2020-10-20,0,False
2020-10-21,68,False
2020-10-22,0,False
2020-10-23,0,False
2020-10-24,0,False
2020-10-25,0,False
2020-10-26,0,False
2020-10-27,0,False
2020-10-28,55,False
2020-10-29,100,False
2020-10-30,95,False
2020-10-31,82,False
2020-11-01,0,False
2020-11-02,0,False
2020-11-03,0,False
2020-11-04,0,False
2020-11-05,54,False
2020-11-06,56,False
2020-11-07,0,False
2020-11-08,89,False
2020-11-09,57,False
