date,contact tracing,isPartial
2021-01-13,92,False
2021-01-14,43,False
2021-01-15,50,False
2021-01-16,61,False
2021-01-17,0,False
2021-01-18,100,False
2021-01-19,41,False
2021-01-20,0,False
2021-01-21,69,False
2021-01-22,0,False
2021-01-23,65,False
2021-01-24,0,False
2021-01-25,48,False
2021-01-26,0,False
2021-01-27,51,False
2021-01-28,51,False
2021-01-29,59,False
2021-01-30,55,False
2021-01-31,0,False
2021-02-01,43,False
2021-02-02,0,False
2021-02-03,0,False
2021-02-04,46,False
2021-02-05,53,False
2021-02-06,57,False
2021-02-07,0,False
2021-02-08,58,False
2021-02-09,62,False
2021-02-10,42,False
2021-02-11,53,False
2021-02-12,0,False
