date,contact tracing,isPartial
2020-10-17,0,False
2020-10-18,0,False
2020-10-19,63,False
2020-10-20,0,False
2020-10-21,51,False
2020-10-22,0,False
2020-10-23,0,False
2020-10-24,0,False
2020-10-25,0,False
2020-10-26,0,False
2020-10-27,0,False
2020-10-28,54,False
2020-10-29,80,False
2020-10-30,97,False
2020-10-31,0,False
2020-11-01,89,False
2020-11-02,79,False
2020-11-03,77,False
2020-11-04,0,False
2020-11-05,0,False
2020-11-06,75,False
2020-11-07,78,False
2020-11-08,100,False
2020-11-09,64,False
2020-11-10,89,False
2020-11-11,0,False
2020-11-12,94,False
2020-11-13,0,False
2020-11-14,0,False
2020-11-15,0,False
2020-11-16,0,False
