date,fever,isPartial
2021-02-18,65,False
2021-02-19,57,False
2021-02-20,64,False
2021-02-21,75,False
2021-02-22,67,False
2021-02-23,60,False
2021-02-24,52,False
2021-02-25,74,False
2021-02-26,71,False
2021-02-27,88,False
2021-02-28,62,False
2021-03-01,66,False
2021-03-02,63,False
2021-03-03,57,False
2021-03-04,67,False
2021-03-05,56,False
2021-03-06,80,False
2021-03-07,81,False
2021-03-08,85,False
2021-03-09,85,False
2021-03-10,73,False
2021-03-11,85,False
2021-03-12,83,False
2021-03-13,82,False
2021-03-14,100,False
2021-03-15,94,False
2021-03-16,84,False
